Frequency (Hz)	Level (dB)
6597.656250	-56.400391
6603.515625	-56.610016
6609.375000	-56.505924
6615.234375	-56.611897
6621.093750	-56.610500
6626.953125	-56.680489
6632.812500	-56.991982
6638.671875	-56.789944
6644.531250	-56.684906
6650.390625	-56.691277
6656.250000	-56.536648
6662.109375	-56.522842
6667.968750	-56.925072
6673.828125	-56.882221
6679.687500	-56.837917
6685.546875	-56.772324
6691.406250	-56.630005
6697.265625	-56.536293
6703.125000	-56.670555
6708.984375	-56.822060
6714.843750	-56.893623
6720.703125	-57.008293
6726.562500	-56.883297
6732.421875	-56.802296
6738.281250	-56.654331
6744.140625	-56.856178
6750.000000	-56.736031
6755.859375	-56.921524
6761.718750	-56.949574
6767.578125	-56.711403
6773.437500	-56.658104
6779.296875	-56.717327
6785.156250	-56.611370
6791.015625	-56.536003
6796.875000	-56.644913
6802.734375	-56.853779
6808.593750	-56.775642
6814.453125	-56.990162
6820.312500	-56.828445
6826.171875	-56.576618
6832.031250	-56.771046
6837.890625	-56.872761
6843.750000	-56.949902
6849.609375	-56.986664
6855.468750	-56.768902
6861.328125	-56.858261
6867.187500	-57.185852
